S.No,Molecule SMILE,PCE
61,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1ccc(c2c1nsn2)c1ccc(s1)/C=C(/C(=O)O)\C#N,7.12
62,CCCCCCC1(CCCCCC)c2cc(sc2c2c1cc(s2)c1ccc2c(c1)nc(c(c2)/C=C(\C(=O)O)/C#N)Cl)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC,1.3
63,CCCCCCC1(CCCCCC)c2cc(sc2c2c1cc(s2)c1ccc2c(c1)[nH]c(=O)c(c2)/C=C(\C(=O)O)/C#N)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC,0.77
65,CCCCCCC1(CCCCCC)c2cc(sc2c2c1cc(s2)c1ccc2c(c1)[nH]c(=O)c(c2)C(=O)O)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC,3.08
66,CCCCCCC1(CCCCCC)c2cc(sc2c2c1cc(s2)c1ccc2c(c1)nc(c(c2)C(=O)O)Cl)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC,0.27
67,CCCCCCC1(CCCCCC)c2cc(sc2c2c1cc(s2)c1ccc2c(c1)[nH]c(=O)c(c2)C=O)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC,0.45
68,OC(=O)c1cc2C(=O)C(=Cc3ccc(cc3)N(c3ccccc3)c3ccccc3)C(=O)c2cc1C(=O)O,0.95
69,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)C=C1C(=O)c2c(C1=O)cc(c(c2)C(=O)O)C(=O)O,1.1
70,CCCCCCC1(CCCCCC)c2cc(sc2c2c1cc(s2)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)c1cc(cc(n1)c1cc(cc(n1)c1cc2c(s1)c1c(C2(CCCCCC)CCCCCC)cc(s1)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)C(=O)O)C(=O)O,3.3
71,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1sc2c(c1)C(c1c2sc(c1)c1ccc(c(n1)c1ccc(c(n1)c1sc2c(c1)C(c1c2sc(c1)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)(CCCCCC)CCCCCC)C(=O)O)C(=O)O)(CCCCCC)CCCCCC,3.9
72,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1ccc(s1)c1nc(c(n1CCCCCC)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,3.34
73,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1ccc(s1)c1nc2c(n1CCCCCC)c1cc(sc1c1c2cc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)/C=C(/C(=O)O)\C#N,3.54
74,CCCCCCn1c2ccc(cc2c2c1cccc2)c1[nH]c(c(n1)c1ccc(cc1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)c1ccc(s1)/C=C(/C(=O)O)\C#N,4.11
75,N#CC(=c1s/c(=C\c2ccc(cc2)N(c2ccccc2)c2ccccc2)/c(=O)[nH]1)C#N,2.92
76,N#CC(=c1[nH]c(=O)/c(=C/c2ccc(cc2)N(c2ccc(cc2)/C=c/2\sc(=C(C#N)C#N)[nH]c2=O)c2ccccc2)/s1)C#N,3.78
77,N#CC(=c1s/c(=C/c2ccc(cc2)N(c2ccc(cc2)/C=c/2\sc(=C(C#N)C#N)[nH]c2=O)c2ccc(cc2)/C=c/2\sc(=C(C#N)C#N)[nH]c2=O)/c(=O)[nH]1)C#N,3.44
78,N#CC(=c1[nH]c(=O)/c(=C/c2ccc(s2)c2ccc(cc2)N(c2ccccc2)c2ccccc2)/s1)C#N,2.11
79,N#CC(=c1[nH]c(=O)/c(=C/c2ccc(s2)c2ccc(cc2)N(c2ccc(cc2)c2ccc(s2)/C=c/2\sc(=C(C#N)C#N)[nH]c2=O)c2ccccc2)/s1)C#N,2.37
81,C=Cc1ccc(cc1)N(c1ccccc1)c1ccc(cc1)/C=C/C=C\1/SC(=S)N(C1=O)CC(=O)O,1.27
82,OC(=O)CN1C(=S)S/C(=C/c2ccc(cc2)N(c2ccccc2)c2ccccc2)/C1=O,3.64
83,N#C/C(=C\c1ccc(s1)c1ccc(c2c1nsn2)c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,3.81
84,N#C/C(=C\c1ccc(s1)c1ccc(c2c1nsn2)c1ccc(s1)/C=C/c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,3.37
85,N#C/C(=C\c1ccc(s1)c1ccc(c2c1nsn2)c1ccc(s1)C#Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,4.55
86,CCCC[C@@H](COc1ccc(cc1)N(c1ccc(cc1)OC[C@H](CCCC)CC)c1ccc(cc1)c1ccc(s1)c1ccc(c2c1nsn2)c1ccc(s1)/C=C(/C(=O)O)\C#N)CC,7.3
87,OC(=O)CN1C(=S)S/C(=C/C=C/c2ccc(cc2)N(c2ccccc2)c2ccccc2)/C1=O,0.63
88,N#CC(=Cc1sc2c(c1)[Si](c1c2sc(c1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O,6.65
89,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1sc2c(c1)[Si](c1c2sc(c1)C=C(C(=O)O)C#N)(c1ccccc1)c1ccccc1,7.6
90,CCCCCCCCC1(CCCCCCCC)c2cc(C#CC#Cc3ccc(cc3)N(c3ccccc3)c3ccccc3)ccc2c2c1cc(cc2)C=C(C(=O)O)C#N,2.52
91,N#CC(=Cc1ccc(s1)c1ccc(s1)c1sc(c(n1)OC)c1ccc(cc1)N(c1ccc(cc1)C)c1ccc(cc1)C)C(=O)O,1.02
93,N#CC(=Cc1ccc(s1)c1nc(c(s1)c1ccc(cc1)N(c1ccc(cc1)C)c1ccc(cc1)C)OC)C(=O)O,1.7
94,CCCCCCc1cc(sc1/C=C(\C(=O)O)/C#N)c1ccc2c(c1)C1(c3c2ccc(c3)c2ccc(cc2)N(c2ccccc2)c2ccccc2)c2ccccc2c2c1cccc2,4.12
95,CCCCCCc1cc(sc1/C=C(\C(=O)O)/C#N)c1ccc2c(c1)n(CC)c1c2ccc(c1)c1ccc(cc1)N(c1ccccc1)c1ccccc1,6.51
96,N#C/C(=C/c1ccc(s1)c1ccc2c(c1)C(CC)(CC)c1c2ccc(c1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,7.03
97,CCCCCCc1cc(sc1C=Cc1ccc(cc1)N(c1ccc(cc1)C)c1ccc(cc1)C)C=C(C(=O)O)C#N,7.83
100,CCCCCCCCC1(CCCCCCCC)c2cc(ccc2c2c1cc(cc2)C=C(C(=O)O)C#N)C#Cc1ccc(cc1)N(c1ccccc1)c1ccccc1,3.5
101,CCCCCCCCC1(CCCCCCCC)c2cc(ccc2c2c1cc(cc2)C#Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)C#Cc1ccc2c(c1)C(CCCCCCCC)(CCCCCCCC)c1c2ccc(c1)C=C(C(=O)O)C#N,1.8
