S.No,Molecule SMILE,PCE
31,OC(=O)c1ccc(cc1)C#Cc1ccc(cc1)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1cc(cc(c1)C(C)(C)C)C(C)(C)C)/c1cc(cc(c1)C(C)(C)C)C(C)(C)C)/c1cc(cc(c1)C(C)(C)C)C(C)(C)C,4.01
32,OC(=O)c1ccc(cc1)C#Cc1ccc(cc1)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1ccc(cc1)C#Cc1ccc(cc1)C(=O)O)/c1cc(cc(c1)C(C)(C)C)C(C)(C)C)/c1cc(cc(c1)C(C)(C)C)C(C)(C)C,2.55
33,OC(=O)c1ccc(cc1)C#Cc1ccc(cc1)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1cc(cc(c1)C(C)(C)C)C(C)(C)C)/c1ccc(cc1)C#Cc1ccc(cc1)C(=O)O)/c1ccc(cc1)C#Cc1ccc(cc1)C(=O)O,0.58
34,CCCCCCCCCCCCOc1cccc(c1/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1c(OCCCCCCCCCCCC)cccc1OCCCCCCCCCCCC)/C#Cc1ccnc(c1)C(=O)O)/N(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)OCCCCCCCCCCCC,8.3
35,CCCCCCCCCCCCOc1cccc(c1/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1c(OCCCCCCCCCCCC)cccc1OCCCCCCCCCCCC)/C#Cc1ccnc(c1)O)/N(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)OCCCCCCCCCCCC,8.5
36,CCCCCCCCCCCCOc1cccc(c1/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1c(OCCCCCCCCCCCC)cccc1OCCCCCCCCCCCC)/C#Cc1ccncc1)/N(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)OCCCCCCCCCCCC,8.2
37,CCCCCCCCOc1cccc(c1/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/N(c1ccc(cc1)C)c1ccc(cc1)C)/N(c1ccc(cc1)C)c1ccc(cc1)C)/CCc1ccc(cc1)C(=O)O)COCCCCCCCC,9.1
38,CCCCCCCCOc1cccc(c1/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/N(c1ccc(cc1)C)c1ccc(cc1)C)/N(c1ccc(cc1)C)c1ccc(cc1)C)/CCc1c(OCCCC)cc(cc1OCCCC)C(=O)O)COCCCCCCCC,7.2
39,CCCCCCCCOCc1cccc(c1/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/N(c1ccc(cc1)C)c1ccc(cc1)C)/N(c1ccc(cc1)C)c1ccc(cc1)C)/CCc1c(OCCCCCCCC)cc(cc1OCCCCCCCC)C(=O)O)OCCCCCCCC,6.9
40,CCCCCCCCOc1cccc(c1/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1c(OCCCCCCCC)cccc1OCCCCCCCC)/N(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)/CCc1ccc(cc1)C(=O)O)OCCCCCCCC,8.6
