S.No,Molecule SMILE,PCE
65,CCCCCCCCn1c(=O)/c(=c/2\c(=Cc3ccc4c(c3)C3CCCC3N4c3ccc(cc3)C=C(c3ccccc3)c3ccccc3)sc(=O)n2CC(=O)O)/s/c/1=C\1/SC(=S)N(C1=O)c1ccccc1,4.15
67,CCCCCCCCCCCCc1cc(sc1c1sc(c2c1OCCO2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)N1c2ccccc2C2C1C1CCC2C1,5.2
69,CCCCCCCCn1nc2c(n1)c(c1ccc(cc1)N1c3ccccc3C3C1C1CCC3C1)c1c(c2c2ccc(cc2)/C=C(/C(=O)O)\C#N)nc(c(n1)c1ccccc1)c1ccccc1,4.1
70,CCCCCCCCn1c(c2ccc(cc2)OCCCCCCCC)c(c2c1ccc(c2)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1c2cc(ccc2n(c1c1ccc(cc1)OCCCCCCCC)CCCCCCCC)c1ccc(s1)/C=C(\C(=O)O)/C#N,6.05
71,CCCCCCCCn1c(c2ccc(cc2)OCCCCCCCC)c(c2c1ccc(c2)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1c2cc(ccc2n(c1c1ccc(cc1)OCCCCCCCC)CCCCCCCC)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N,6.54
72,CCCCCCn1c2ccc(cc2c2c1c1ccccc1C2(CCCCCC)CCCCCC)c1ccc(cc1)/C=C(/C(=O)O)\C#N,6.29
74,CCCCCCn1c2ccc(cc2c2c1c1ccccc1C2(CCCCCC)CCCCCC)c1ccc(cc1)/C=c/1\sc(=C(C#N)C#N)[nH]c1=O,3.6
75,CCCCCCn1c2ccc(cc2c2c1c1ccccc1C2(CCCCCC)CCCCCC)c1ccc(s1)/C=c/1\sc(=C(C#N)C#N)[nH]c1=O,5.41
76,CCCCCCn1c2ccc(cc2c2c1c1ccccc1C2(CCCCCC)CCCCCC)C#Cc1ccc(cc1)/C=C(\C(=O)O)/C#N,5.16
77,CCCCCCn1c2ccc(cc2c2c1c1ccccc1C2(CCCCCC)CCCCCC)C#Cc1ccc(s1)/C=C(/C(=O)O)\C#N,6.86
78,CCCCCCn1c2ccc(cc2c2c1c1ccccc1C2(CCCCCC)CCCCCC)C#Cc1ccc(c2c1nsn2)c1ccc(cc1)C(=O)O,7.99
79,CCCCCCCCCCCCn1c(cc2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)/C=C(/C(=O)O)\C#N,4.55
80,CCCCCCCCCCCCn1c(cc2c1ccc(c2)c1ccc(s1)/C=C\1/SC(=S)N(C1=O)CC(=O)O)c1ccc(s1)/C=C/1\SC(=S)N(C1=O)CC(=O)O,5.13
81,CCCCn1c2ccc(cc2c2c1nc1ccccc1n2)C#Cc1cccc(c1)/C=C(/C(=O)O)\C#N,0.97
82,CCCCn1c2ccc(cc2c2c1nc1ccccc1n2)C#Cc1ccc(s1)/C=C(/C(=O)O)\C#N,2.41
83,CCCCn1c2ccc(cc2c2c1nc1ccccc1n2)C#Cc1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,2.3
84,CCCCCCCCn1c(c2ccc(cc2)OCCCCCCCC)c(c2c1ccc(c2)c1ccc(o1)/C=C(\C(=O)O)/C#N)c1c2cc(ccc2n(c1c1ccc(cc1)OCCCCCCCC)CCCCCCCC)c1ccc(o1)/C=C(\C(=O)O)/C#N,5.87
85,CCCCCCCCN1C(=O)S/C(=c\2/c(=Cc3ccc4c(c3)C3CCCC3N4c3ccc(cc3)C=C(c3ccccc3)c3ccccc3)sc(=O)n2CC(=O)O)/C1=O,3.38
86,CCN1C(=S)S/C(=c\2/c(=Cc3ccc4c(c3)C3CCCC3N4c3ccccc3)sc(=O)n2CC(=O)O)/C1=O,4.31
87,CCN1C(=S)S/C(=c\2/c(=Cc3ccc4c(c3)C3CCCC3N4c3ccccc3C(=O)O)sc(=O)n2CC)/C1=O,1.92
88,CCN1C(=S)S/C(=c\2/c(=Cc3ccc4c(c3)C3CCCC3N4c3cccc(c3)C(=O)O)sc(=O)n2CC)/C1=O,1.6
89,CCN1C(=S)S/C(=c\2/c(=Cc3ccc4c(c3)C3CCCC3N4c3ccc(cc3)C(=O)O)sc(=O)n2CC)/C1=O,2.1
90,CCN1C(=S)S/C(=c\2/c(=Cc3ccc4c(c3)C3CCCC3N4c3ccc(cc3)CO)sc(=O)n2CC(=O)O)/C1=O,4.53
91,CCN1C(=S)S/C(=c\2/c(=Cc3ccc4c(c3)C3CCCC3N4c3ccc(cc3)CO)sc(=O)n2CCC(=O)O)/C1=O,3.43
92,CCN1C(=S)S/C(=c\2/c(=Cc3ccc4c(c3)C3CCCC3N4c3ccc(cc3)CO)sc(=O)n2CCCC(=O)O)/C1=O,3.69
93,CCCCCCn1cc(c2c1cccc2)/C=C(\c1ccc(s1)/C=C/1\SC(=S)N(C1=O)CC(=O)O)/C#N,0.35
94,N#CC(=Cc1ccc(s1)c1ccc(s1)c1cc2CCCC3c2c(c1)C(c1ccc2c(c1)C(C)(C)c1c2cccc1)N3c1ccccc1)C(=O)O,8.42
95,N#CC(=Cc1ccc(s1)c1ccc(s1)c1ccc2c3c1CCCC3N(C2c1ccc2c(c1)C(C)(C)c1c2cccc1)c1ccccc1)C(=O)O,6.88
96,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)C=C(C(=O)O)C#N)c1ccc2c(c1)C1CCCC1N2c1ccccc1,3.4
97,N#C/C(=C\c1ccc(s1)c1ccc2c(c1)CCN2c1ccc(cc1)C=C(c1ccccc1)c1ccccc1)/C(=O)O,3.94
98,N#C/C(=C\c1ccc2c(c1)nc(s2)c1ccc2c(c1)CCN2c1ccc(cc1)C=C(c1ccccc1)c1ccccc1)/C(=O)O,4.02
99,CCN1C(=S)S/C(=c\2/s/c(=C/c3ccc(s3)c3ccc4c(c3)N(CC4)c3ccc(cc3)C=C(c3ccccc3)c3ccccc3)/c(=O)n2CC(=O)O)/C1=O,1.42
100,CCCCCCn1cc(c2c1cccc2)/C=C(\c1ccc(s1)C=C(C(=O)O)C#N)/C#N,1.04
101,CCN1C(=S)S/C(=c\2/s/c(=C\c3ccc4c(c3)nc(s4)c3ccc4c(c3)CCN4c3ccc(cc3)C=C(c3ccccc3)c3ccccc3)/c(=O)n2CC(=O)O)/C1=O,2.91
102,N#CC(=Cc1ccc2c(c1)[C@@H]1CCC[C@H]1N2c1ccc(cc1)C)C(=O)O,1.79
103,N#CC(=Cc1ccc(s1)c1ccc2c(c1)[C@@H]1CCC[C@H]1N2c1ccc(cc1)C)C(=O)O,4.58
104,N#CC(=Cc1ccc(s1)/C=C/c1ccc2c(c1)[C@@H]1CCC[C@H]1N2c1ccc(cc1)C)C(=O)O,4.46
105,N#CC(=Cc1ccc(s1)/C=C/c1ccc(s1)c1ccc2c(c1)[C@@H]1CCC[C@H]1N2c1ccc(cc1)C)C(=O)O,2.53
106,N#C/C(=C\c1ccc(s1)c1ccc(c2c1nsn2)c1ccc2c(c1)N(c1ccc(cc1)C)C1C2CCC1)/C(=O)O,3.86
107,CCCCCCc1cc(sc1c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(c2c1nsn2)c1ccc2c(c1)N(c1ccc(cc1)C)C1C2CCC1,7.63
108,CCCCCCn1cc(c2c1ccc(c2)OC)/C=C(\c1ccc(s1)/C=C/1\SC(=S)N(C1=O)CC(=O)O)/C#N,0.046
110,CCCCCCC1(CCCCCC)c2ccccc2c2c1ccc(c2)N1C2CCCC2c2c1cc(/C=C/c1ccc(s1)/C=C(/C(=O)O)\C#N)cc2,5.09
111,N#C/C(=C\c1ccc(s1)/C=C/c1ccc2c(c1)N(c1ccc(cc1)C)C1C2CCC1)/C(=O)O,3.99
112,CCN1C(=S)S/C(=c/2\s/c(=C\c3ccc4c(c3)N(c3ccc(cc3)C=C(c3ccccc3)c3ccccc3)C3C4CCC3)/c(=O)n2CC(=O)O)/C1=O,6.51
113,OC(=O)CN1C(=S)S/C(=c/2\s/c(=C\c3ccc4c(c3)N(c3ccc(cc3)/C=C(\c3ccccc3)/C3=CC=CCC3)C3C4CCC3)/c(=O)n2CC(=O)O)/C1=O,5.5
114,CCN1C(=S)S/C(=c/2\s/c(=C\c3ccc4c(c3)N(c3ccc(cc3)/C=C(\c3ccccc3)/C3=CC=CCC3)C3C4CCC3)/c(=O)n2CCC(=O)O)/C1=O,5.6
115,CCN1C(=S)S/C(=c/2\s/c(=c/3\s/c(=C\c4ccc5c(c4)N(c4ccc(cc4)/C=C(\c4ccccc4)/C4=CC=CCC4)C4C5CCC4)/c(=O)n3CC(=O)O)/c(=O)n2CC)/C1=O,5.93
116,CCCCCCc1cc(sc1c1cc(c(s1)C=C(C(=O)O)C#N)CCCCCC)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)OC,3
117,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)c1sc(cc1CCCCCC)/C=C(/C(=O)O)\C#N)c1sc(cc1CCCCCC)c1sc2c(c1)n(c1c2cccc1)CC,4
118,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)C=C(C(=O)O)C#N)c1cc2c(s1)c1c(n2CC)cccc1,7.4
120,CCCCCCn1cc(c2c1ccc(c2)OC)/C=C(\c1ccc(s1)/C=N/c1ccc(cc1)C(=O)O)/C#N,4.12
