S.No,Molecule SMILE,PCE
88,N#C/C(=C/c1ccc2c(c1)c1ccc(cc1n2CC)c1ccc(s1)c1ccc(cc1)C=C(c1ccc(cc1)N(C)C)c1ccc(cc1)N(C)C)/C(=O)O,3.1
89,CCCCCCn1c2ccc(cc2c2c1cccc2)c1ccc(cc1)/C=C/1\SC(=S)N(C1=O)CC(=O)O,1.23
90,CCCCCCn1c2ccc(cc2c2c1cccc2)c1ccc(cc1)/C=C(\C(=O)O)/C#N,1.94
91,CCCCCCn1c2ccc(cc2c2c1cccc2)/C=C(\c1ccc(s1)C=C1C(=O)NC(=O)NC1=O)/C#N,0.19
92,CCCCCCn1c2ccc(cc2c2c1cccc2)/C=C(\c1ccc(s1)/C=C\1/SC(=S)N(C1=O)CC(=O)O)/C#N,0.24
93,CCCCCCn1c2ccc(cc2c2c1cccc2)/C=C(\c1ccc(s1)/C=C(/C(=O)O)\C#N)/C#N,3.55
94,CCCCCCC(Cc1cc(sc1c1sc2c(c1)c1nonc1c1c2sc(c1)c1sc(cc1CC(CCCCCC)CCCC)c1ccc2c(c1)c1ccccc1n2CC)/C=C(/C(=O)O)\C#N)CCCC,7.33
95,CCCCOc1ccc(cc1)N(c1ccc2c(c1)n(CCCC)c1c2ccc(c1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OCCCC,5.76
96,CCCCn1c2cc(ccc2c2c1cc(cc2)c1ccc(s1)/C=C(/C(=O)O)\C#N)N(c1ccc(cc1)OCCCC)c1ccc(cc1)OCCCC,1.36
97,CCCCCCCC[N+]1=C(/C=C/c2ccc3c(c2)c2ccccc2n3CCCCCCn2c3ccc(cc3c3c2cccc3)/C=C/C2=[N+](CCCCCCCC)c3c(C2(C)C)cc(cc3)C(=O)O)C(c2c1ccc(c2)C(=O)O)(C)C.[I-].[I-],0.0538
98,CCCCCCCC[N+]1=C(/C=C/c2ccc3c(c2)c2ccccc2n3CCCCCC)C(c2c1ccc(c2)C(=O)O)(C)C.[I-],0.0387
99,CCCCCCCCOc1ccc(cc1)c1c2c3ccccc3n(c2c(c2c1n(CCCCCCCC)c1c2cc(cc1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OCCCCCCCC)CCCCCCCC,7.58
100,CCCCCCCCn1c2ccc(cc2c2c1c(c1ccc(cc1)OCC)c1c(c2c2ccc(cc2)OCC)n(c2c1cccc2)CCCCCCCC)c1ccc(s1)/C=C(/C(=O)O)\C#N,6.98
101,CCCCCCCCn1c2ccc(cc2c2c1c(c1ccc(cc1)N(CC)CC)c1c(c2c2ccc(cc2)N(CC)CC)n(c2c1cccc2)CCCCCCCC)c1ccc(s1)/C=C(/C(=O)O)\C#N,8.09
102,CCCCCCCCn1c2ccc(cc2c2c1c(c1ccc(cc1)CC)c1c(c2c2ccc(cc2)CC)n(c2c1cccc2)CCCCCCCC)c1ccc(s1)/C=C(/C(=O)O)\C#N,6.25
103,CCCCCCCCc1cc(sc1c1ccc(s1)c1sc(cc1CCCCCCCC)C=C(C(=O)O)C#N)c1cc2c(c3c1cccc3)n(c1c2cc(OC)cc1)C(CCCCC)CC,7.54
104,CCCCCC(n1c2ccc(cc2c2c1c1ccccc1c(c2)c1ccc(o1)C=C(C(=O)O)C#N)OC)CC,6.93
105,CCCCCC(n1c2ccc(cc2c2c1c1ccccc1c(c2)c1ccc(s1)C=C(C(=O)O)C#N)OC)CC,6.01
106,N#C/C(=C/c1ccc(cc1)n1c2ccccc2c2c1cccc2)/C(=O)O,1.77
107,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(s1)n1c2ccc(cc2c2c1ccc(c2)n1c2ccccc2c2c1cccc2)n1c2ccccc2c2c1cccc2)/C(=O)O,4.86
108,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(s1)n1c2ccccc2c2c1cccc2)/C(=O)O,4.3
109,N#C/C(=C\c1ccc(s1)c1ccc(s1)n1c2ccccc2c2c1cccc2)/C(=O)O,2.94
110,N#C/C(=C\c1ccc(s1)c1ccc(cc1)n1c2ccccc2c2c1cccc2)/C(=O)O,2.74
111,CCCCCCn1c2ccc(cc2c2c1cccc2)c1ccc(cc1)C=C1C(=O)NC(=S)NC1=O,0.54
112,CCCCCCn1c2ccc(cc2c2c1cccc2)c1ccc(cc1)C=C1C(=O)NC(=O)NC1=O,0.96
113,CCCCCCn1c2ccc(cc2c2c1cccc2)c1cc(sc1c1sc(c(c1)c1ccc2c(c1)c1ccccc1n2CCCCCC)c1ccc2c(c1)c1ccccc1n2CCCCCC)/C=C(/C(=O)O)\C#N,4.24
114,CCCCn1c2ccc(cc2c2c1cccc2)c1ccc(s1)c1cc2c(s1)c1c(n2c2ccc3c(c2)C(CCCC)(CCCC)c2c3cccc2)cc(s1)/C=C(\C(=O)O)/C#N,5.39
115,CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccc(cc1)c1ccc2c(c1)C(CC)(CC)c1c2cccc1)c1ccc(cc1)c1ccc2c(c1)C(CC)(CC)c1c2cccc1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,4.2
116,CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccc(cc1)c1ccc2c(c1)C(CC)(CC)c1c2cccc1)c1ccc(cc1)c1ccc2c(c1)C(CC)(CC)c1c2cccc1)c1ccc(s1)/C=C(/C(=O)O)\C#N,1.78
