SMILES,Name,MW,AlogP,HBA,HBD,RB,HeavyAtomCount,ChiralCenterCount,ChiralCenterCountAllPossible,RingCount,PSA,Estate,MR,Polar
OC(=O)CN1C(=S)S/C(C1=O)=C/c2ccc(cc2)N(c3ccccc3)c4ccc(cc4)/C=C5/SC(=S)N(C5=O)CC(=O)O,1180,647.7642,6.5094,4,0,9,43,0,0,5,233.2400,113.6710,177.4889,77.7970
N#C/C(C(=O)O)=C\c1cn(C)cc1-c2ccc(cc2)N(c3ccccc3)c4ccc(cc4)-c5cn(C)cc5/C=C(\C#N)C(=O)O,1181,593.6307,5.8920,2,0,9,45,0,0,5,135.2800,114.6710,169.8591,79.8930
N#C\C(C(=O)O)=C\c(s1)ccc1-c(s2)ccc2C=3N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C(C34)=C(N(C4=O)CC(CCCCCCCC)CCCCCCCCCC)c5ccc(s5)-c6sc(c(c67)OCCO7)-c8ccc(cc8)N(c9ccccc9)c1ccccc1,1182,1422.0609,27.0120,5,0,45,100,0,2,10,236.3700,200.1720,416.3407,183.7390
N#C/C(C(=O)O)=C/c1ccc(s1)-c2ccc(cc2)N(c3ccc(cc3)-c4cccs4)c5ccc(cc5)-c6ccc(s6)/C=C(\C#N)C(=O)O,1183,681.8019,9.3617,2,0,10,48,0,0,6,210.1400,119.5040,188.8250,90.7470
N#C/C(C(=O)O)=C/c1ccc(s1)-c2ccc(cc2)N(c3ccc(cc3)-c4ccc(s4)/C=C(\C#N)C(=O)O)c5ccc(cc5)-c6ccc(s6)/C=C(\C#N)C(=O)O,1184,776.8582,9.5948,3,0,11,55,0,0,6,271.2300,147.0050,210.8510,98.6350
CCCCOc1ccc(cc1)N(c2ccc(cc2)OCCCC)c3ccc(cc3)-c4ccc(s4)/C=C(/C#N)C(=O)O,1185,566.7098,9.2646,3,0,13,41,0,0,4,111.0300,93.0030,163.7688,76.0970
O=C(O)/C(C#N)=C\c1sc(cc1)-c2ccc(cc2)N(c3ccc(cc3)OCCCC)c4ccc(cc4)-c5ccc(s5)/C=C(/C#N)C(=O)O,1186,671.7840,9.4297,3,0,12,48,0,0,5,191.1300,120.0040,187.3099,87.3660
N#C/C(C(=O)O)=C/c1ccc(s1)-c2ccc(cc2)N(c3ccc(cc3)-c4ccc(s4)/C=C(/C#N)C(=O)O)c5ccc(cc5)-c6ccc(s6)/C=C(/C#N)C(=O)O,1187,776.8582,9.5948,3,0,11,55,0,0,6,271.2300,147.0050,210.8510,98.6350
N#C/C(C(=O)O)=C/c1ccc(s1)/C=C/c2ccc(cc2)N(c3ccccc3)c4ccc(cc4)/C=C/c5ccc(s5)/C=C(/C#N)C(=O)O,1188,651.7528,8.8396,2,0,11,47,0,0,5,181.9000,118.3370,187.6107,86.3450
OC(=O)CN1C(=S)S/C(C1=O)=C\c2ccc(s2)/C=C/c3ccc(cc3)N(c4ccccc4)c5ccc(cc5)/C=C/c6ccc(s6)/C=C7/SC(=S)N(C7=O)CC(=O)O,1189,864.0862,10.3638,4,0,13,57,0,0,7,289.7200,140.0050,241.0851,107.4690
CCCCCCCCN(c1ccccc1)c2ccc(cc2)C=C3C(=O)NC(=O)NC3=O,1190,419.5161,5.7740,3,2,10,31,0,0,3,78.5100,72.1690,121.7813,53.8220
CCCCCCCCN(c1ccccc1)c2ccc(cc2)C=C3C(=O)NC(=S)NC3=O,1191,435.5817,6.6731,2,2,10,31,0,0,3,93.5300,68.8360,129.7722,56.9820
CCCCCCCCC1(C=C2C(=O)NC(=O)NC2=O)CC=C(C=C1)NC(=C3C(=O)NC(=O)NC3=O)c4ccccc4,1192,559.6129,3.5982,6,5,11,41,0,1,4,162.5700,106.0870,154.1685,61.9190
O=C1NC(=S)NC(=O)C1=Cc2ccc(cc2)N(CCCCCCCC)c3ccc(cc3)C=C4C(=O)NC(=S)NC4=O,1193,589.7282,6.6067,4,4,11,41,0,0,4,183.8200,99.8380,167.8263,71.3110
