142,N#CC(=Cc1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccc2c(c1)Cc1c2cccc1)c1ccc2c(c1)Cc1c2cccc1)C(=O)O
144,N#CC(=Cc1ccc(s1)c1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccc2c(c1)Cc1c2cccc1)c1ccc2c(c1)Cc1c2cccc1)C(=O)O
146,N#CC(=Cc1ccc(cc1)c1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccc2c(c1)Cc1c2cccc1)c1ccc2c(c1)Cc1c2cccc1)C(=O)O
148,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)/C(=O)O
150,N#C/C(=C/c1ccc(s1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)/C(=O)O
157,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc2c(c1)n1c3ccc(cc3c3c1c2cc(c3)C(C)(C)C)C(C)(C)C)/C(=O)O
160,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)n1c3ccc(cc3c3c1c2cc(c3)C(C)(C)C)C(C)(C)C
174,CCCCCCCOc1ccc2c(c1)n(CC)c1c2cc(cc1)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)/C=C(\C(=O)O)/C#N
175,CCCCCCCOc1ccc2c(c1)n(CC)c1c2cc(cc1)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)/C=C(\C(=O)O)/C#N
178,CCCC[C@@H](CN1c2ccc(cc2Sc2c1cccc2)/C=C(/C(=O)O)\C#N)CC
183,CCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(cc1OCCCC)OCCCC)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N
186,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)C=C(C(=O)O)C#N)c1ccc2c(c1)c1ccccc1n2CC
187,CCCCCCc1cc(sc1c1cc(c(s1)C=C(C(=O)O)C#N)CCCCCC)c1ccc2c(c1)c1ccccc1n2c1ccccc1
